vendor,family,model,series,mtbf_years,switching_capacity_gbps,packets_per_s_mpps,mac_add_storage,network_latency_us,vlans_support,lag_size,dram,flash_mem,storage_gb,acl,stp_instance,dimentions_h_d_w_mm,weight_kg,pwr_supply,pwr_required,pwr_consumed_avg_w,pwr_consumed_max_w,heat_diss_btuh,operating_temp,strg_temp,humidity,air_flw,noise_lvl_dba,certifications,poe_budget,mgmt_port,console_port,poe_ports,ge_ports,mugig_ports,sfp_ports,sfp+_ports,spf28_ports,qsfp+_ports,qsfp28_ports,interface_raw,release_year,support_years,datasheet_url,datasheet_date
Fortinet,FortiSwitch,108E,E,10,20,14.88,8000,4,4000,8,256 MB DDR3,32 MB,0,512,15,44 x 209 x 330,1.5,AC Built in,"100-240V AC, 50-60 Hz",5.19,,,0-40°C,-40-70°C,10-90% non-condensing,Fanless,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",0,0,1,0,8,0,2,0,0,0,0,"8x GE RJ45, 2x GE SFP",2018,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Datasheet_FortiSwitch_Secure_Access_Series.pdf,2024
Fortinet,FortiSwitch,108E-POE,E,10,20,14.88,8000,4,4000,8,256 MB DDR3,32 MB,0,512,15,44 x 209 x 330,1.6,AC Built in,"100-240V AC, 50-60 Hz",72,,,0-40°C,-40-70°C,10-90% non-condensing,Fanless,0,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",65,0,1,4,8,0,2,0,0,0,0,"4x GE RJ45 (PoE+), 4x GE RJ45, 2x GE SFP",2018,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Datasheet_FortiSwitch_Secure_Access_Series.pdf,2024
Fortinet,FortiSwitch,124E,E,10,56,83,8000,4,4000,8,256 MB DDR3,32 MB,0,512,15,44 x 209 x 330,2.1,AC Built in,"100-240V AC, 50-60 Hz",15.83,17.79,54,0-40°C,-40-70°C,10-90% non-condensing,Side to Side,45,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",0,0,1,0,24,0,4,0,0,0,0,"24x GE RJ45, 4x GE SFP",2018,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Datasheet_FortiSwitch_Secure_Access_Series.pdf,2024
Fortinet,FortiSwitch,124E-POE,E,10,56,83,8000,4,4000,8,256 MB DDR3,32 MB,0,512,15,44 x 309 x 440,5.03,AC Built in,"100-240V AC, 50-60 Hz",202.78,205.45,60.67,0-40°C,-40-70°C,10-90% non-condensing,Side to Side,45,"FCC, CE, RCM, VCCI, BSMI, UL, CB, RoHS2",185,0,1,12,24,0,4,0,0,0,0,"12x GE RJ45 (PoE+), 12x GE RJ45, 4x GE SFP",2018,,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/Datasheet_FortiSwitch_Secure_Access_Series.pdf,2024
